entity,time,x,y,z,p,r,t,w
vicon-crazyflie7,1748397107.3944218,0.2912854552268982,0.06041726469993591,0.0490434467792511,0.0022510038688778877,-0.0012523789191618562,1748397107.3944218,0.9999966621398926
vicon-crazyflie8,1748397107.3951318,-0.2875143885612488,0.05591379851102829,0.04706301912665367,0.0009149822872132063,-0.01189028937369585,1748397107.3951318,0.9999263286590576
vicon-crazyflie7,1748397107.405519,0.291296124458313,0.060413941740989685,0.04906047508120537,0.0017828622367233038,-0.0012545783538371325,1748397107.405519,0.999997615814209
vicon-crazyflie8,1748397107.4055746,-0.2875048816204071,0.055909413844347,0.04707275331020355,0.0009628530824556947,-0.011231477372348309,1748397107.4055746,0.9999338388442993
vicon-crazyflie7,1748397107.4152246,0.2913123369216919,0.06040044501423836,0.049036815762519836,0.0024751508608460426,-0.0013583124382421374,1748397107.4152246,0.9999960064888
vicon-crazyflie8,1748397107.4152832,-0.28749528527259827,0.05590713024139404,0.047050390392541885,0.0008585661416873336,-0.011607415974140167,1748397107.4152832,0.9999292492866516
vicon-crazyflie7,1748397107.424305,0.2913209795951843,0.06039036437869072,0.0490352064371109,0.0022808497305959463,-0.0014645232586190104,1748397107.424305,0.9999963045120239
vicon-crazyflie8,1748397107.4243636,-0.2874893844127655,0.055904779583215714,0.047059316188097,0.001166842645034194,-0.011423708871006966,1748397107.4243636,0.9999316334724426
vicon-crazyflie7,1748397107.434674,0.29132184386253357,0.060374774038791656,0.04901466146111488,0.0020366362296044827,-0.00180619687307626,1748397107.434674,0.9999963045120239
vicon-crazyflie8,1748397107.4365838,-0.2874852418899536,0.05591139569878578,0.047037284821271896,0.0007278922712430358,-0.01072158757597208,1748397107.4365838,0.9999393820762634
vicon-crazyflie7,1748397107.444929,0.2913040220737457,0.060382179915905,0.04902484640479088,0.002004080917686224,-0.0014189948560670018,1748397107.444929,0.9999969601631165
vicon-crazyflie8,1748397107.4449928,-0.2875140309333801,0.055896881967782974,0.04702812805771828,0.0009973827982321382,-0.011556316167116165,1748397107.4449928,0.9999303221702576
vicon-crazyflie7,1748397107.462484,0.2912942171096802,0.06036414951086044,0.049034640192985535,0.0019139358773827553,-0.0012911166995763779,1748397107.462484,0.9999973177909851
vicon-crazyflie8,1748397107.4625423,-0.2875310182571411,0.055890876799821854,0.04706088453531265,0.0007949676946736872,-0.011338295415043831,1748397107.4625423,0.9999329447746277
vicon-crazyflie7,1748397107.4663765,0.29128387570381165,0.06036488711833954,0.049050863832235336,0.0016630145255476236,-0.0013284754240885377,1748397107.4663765,0.9999977350234985
vicon-crazyflie8,1748397107.4664342,-0.28753480315208435,0.055878255516290665,0.04708641394972801,0.0011043569538742304,-0.012038483284413815,1748397107.4664342,0.9999242424964905
vicon-crazyflie7,1748397107.4739702,0.29127758741378784,0.06037318333983421,0.049082644283771515,0.0015959650045260787,-0.0012441680300980806,1748397107.4739702,0.9999979138374329
vicon-crazyflie8,1748397107.474028,-0.2875349223613739,0.05587874352931976,0.047098394483327866,0.0010617113439366221,-0.011926055885851383,1748397107.474028,0.9999258518218994
vicon-crazyflie7,1748397107.4834867,0.2912824749946594,0.0603734627366066,0.049079716205596924,0.001776154967956245,-0.0015678316121920943,1748397107.4834867,0.9999971985816956
vicon-crazyflie8,1748397107.483545,-0.28752169013023376,0.05587885156273842,0.04710325971245766,0.0006779516697861254,-0.011832703836262226,1748397107.483545,0.9999263882637024
vicon-crazyflie7,1748397107.493643,0.2912781834602356,0.06038672477006912,0.049079228192567825,0.0017367852851748466,-0.0013568589929491282,1748397107.493643,0.9999975562095642
vicon-crazyflie8,1748397107.4946096,-0.2875252366065979,0.05589090660214424,0.0470912829041481,0.0008959611877799034,-0.010786972939968109,1748397107.4946096,0.9999389052391052
vicon-crazyflie7,1748397107.5047133,0.29128938913345337,0.060399461537599564,0.0490637868642807,0.00183760782238096,-0.0015785052673891187,1748397107.5047133,0.9999970197677612
vicon-crazyflie8,1748397107.5047693,-0.28753799200057983,0.055889640003442764,0.04706293344497681,0.0011056952644139528,-0.011323120445013046,1748397107.5047693,0.9999326467514038
vicon-crazyflie7,1748397107.514583,0.29129645228385925,0.06039929762482643,0.049042101949453354,0.0020426553674042225,-0.0015854585217311978,1748397107.514583,0.9999966621398926
