entity,time,x,y,z,p,r,t,w
vicon-crazyflie8,1761611605.5847936,0.005837085656821728,0.012149554677307606,0.038781967014074326,-0.007535800337791443,-0.022265616804361343,0.007418742869049311,0.9996961355209351
vicon-crazyflie8,1761611605.5921843,0.005835315212607384,0.012151739560067654,0.03876820579171181,-0.0074045113287866116,-0.022113358601927757,0.006748846732079983,0.9997052550315857
vicon-crazyflie8,1761611605.605818,0.005855130031704903,0.012125290930271149,0.038747452199459076,-0.007210394833236933,-0.02232956886291504,0.0073212250135838985,0.9996978640556335
vicon-crazyflie8,1761611605.6118498,0.005853364709764719,0.012123350985348225,0.0387849435210228,-0.0076903062872588634,-0.021032126620411873,0.007091409992426634,0.9997240900993347
vicon-crazyflie8,1761611605.6226623,0.005836674477905035,0.012110287323594093,0.038780372589826584,-0.007662463001906872,-0.02055276930332184,0.007032874971628189,0.99973464012146
vicon-crazyflie8,1761611605.631573,0.00582581153139472,0.01213472243398428,0.03882712498307228,-0.007402351126074791,-0.02126656100153923,0.007600088138133287,0.9997175335884094
vicon-crazyflie8,1761611605.6418371,0.005785614717751741,0.012123854830861092,0.0388210266828537,-0.007187483832240105,-0.021168407052755356,0.007785613648593426,0.9997197985649109
vicon-crazyflie8,1761611605.6520827,0.005768208298832178,0.012136911042034626,0.03883067145943642,-0.006233891472220421,-0.019538041204214096,0.007380282506346703,0.9997624158859253
vicon-crazyflie8,1761611605.6650686,0.005783373955637217,0.01214971486479044,0.03884308785200119,-0.0067437454126775265,-0.021868262439966202,0.007890405133366585,0.9997069835662842
vicon-crazyflie8,1761611605.6725976,0.005801113788038492,0.012133212760090828,0.03883517161011696,-0.007530899252742529,-0.02129393443465233,0.007934433408081532,0.9997134208679199
vicon-crazyflie8,1761611605.681954,0.005831199232488871,0.012127185240387917,0.03882746025919914,-0.007140717003494501,-0.021838698536157608,0.007788806688040495,0.9997056722640991
vicon-crazyflie8,1761611605.692702,0.005843568127602339,0.0121342483907938,0.038803763687610626,-0.007307834457606077,-0.02223162353038788,0.007375354878604412,0.9996989369392395
vicon-crazyflie8,1761611605.702126,0.005844190716743469,0.01212455052882433,0.038787130266427994,-0.007710029371082783,-0.02159290388226509,0.006821159739047289,0.9997138381004333
vicon-crazyflie8,1761611605.7188263,0.005827091168612242,0.01215683575719595,0.03877592831850052,-0.00670477282255888,-0.022972147911787033,0.007505425252020359,0.9996854662895203
vicon-crazyflie8,1761611605.7267392,0.005853647831827402,0.012147471308708191,0.03877650573849678,-0.007073033135384321,-0.022620754316449165,0.00716220960021019,0.9996934533119202
vicon-crazyflie8,1761611605.7321532,0.005859388504177332,0.012145867571234703,0.03877931460738182,-0.007522605359554291,-0.02238881215453148,0.0074200439266860485,0.9996935129165649
