entity,time,x,y,z,p,r,t,w
vicon-crazyflie8,1761613789.8984332,0.016724256798624992,-0.02155546471476555,0.03924616053700447,-0.014106865972280502,-0.010900829918682575,0.02648337371647358,0.9994902610778809
vicon-crazyflie8,1761613789.9014,0.016704244539141655,-0.021561313420534134,0.039244189858436584,-0.014255719259381294,-0.010305382311344147,0.02632295899093151,0.999498724937439
vicon-crazyflie8,1761613789.9118948,0.016693050041794777,-0.021561915054917336,0.03926476091146469,-0.013819283805787563,-0.011403687298297882,0.02629777416586876,0.9994935989379883
vicon-crazyflie8,1761613789.9264207,0.016660690307617188,-0.021555786952376366,0.039290040731430054,-0.014822093769907951,-0.011063502170145512,0.02603347785770893,0.999489963054657
vicon-crazyflie8,1761613789.9313262,0.016675671562552452,-0.02156510204076767,0.03928140923380852,-0.01451098918914795,-0.011312415823340416,0.026448575779795647,0.9994808435440063
vicon-crazyflie8,1761613789.9427197,0.016685785725712776,-0.021566137671470642,0.039284467697143555,-0.014011288061738014,-0.012021270580589771,0.0263674259185791,0.9994818568229675
vicon-crazyflie8,1761613789.9514375,0.01669829525053501,-0.02156718820333481,0.03924936056137085,-0.014450492337346077,-0.01163733471184969,0.02643200010061264,0.9994783997535706
vicon-crazyflie8,1761613789.9616516,0.016706125810742378,-0.021575774997472763,0.039232976734638214,-0.014510974287986755,-0.010973232798278332,0.026312783360481262,0.9994881749153137
vicon-crazyflie8,1761613789.9715133,0.016701560467481613,-0.02157505974173546,0.039252761751413345,-0.013914956711232662,-0.010697413235902786,0.02593744359910488,0.9995094537734985
vicon-crazyflie8,1761613789.9815412,0.01670612022280693,-0.021571604534983635,0.0392397902905941,-0.014422647655010223,-0.011237004771828651,0.026442527770996094,0.9994831085205078
vicon-crazyflie8,1761613789.9916594,0.016713442280888557,-0.02157869189977646,0.03924331068992615,-0.014092535711824894,-0.011666713282465935,0.026104575023055077,0.999491810798645
